yyyymm	Index	D12	E12	b/m	tbl	AAA	BAA	lty	ntis	Rfree	infl	ltr	corpr	svar	csp	CRSP_SPvw	CRSP_SPvwx
200202	1,106.73	15.7333	24.6967	0.1301190857	0.0173	0.0651	0.0789	0.0563	0.0157304907	0.0014416667	0.0039525692	0.0115	0.0130	0.0025678320	-0.0018207545	-0.019481	-0.020973
200203	1,147.39	15.7300	24.7000	0.2368334023	0.0179	0.0681	0.0811	0.0604	0.0162006071	0.0014916667	0.0056242970	-0.0436	-0.0295	0.0020148244	-0.0022385902	0.037573	0.036690
200204	1,076.92	15.8333	25.3800	0.2477323126	0.0172	0.0676	0.0803	0.0575	0.0159449135	0.0014333333	0.0055928412	0.0410	0.0253	0.0023197168	-0.0020475182	-0.061021	-0.061846
200205	1,067.14	15.9367	26.0600	0.2482556141	0.0173	0.0675	0.0809	0.0578	0.0233476693	0.0014416667	0.0000000000	0.0015	0.0113	0.0041016250	-0.0021417790	-0.007800	-0.009437
200206	989.81	16.0400	26.7400	0.2665725018	0.0170	0.0663	0.0795	0.0566	0.0276057194	0.0014166667	0.0005561735	0.0187	0.0073	0.0037079693	-0.0026067905	-0.071346	-0.072608
200207	911.62	15.9603	27.8400	0.2820321945	0.0168	0.0653	0.0790	0.0544	0.0285242604	0.0014000000	0.0011117287	0.0303	0.0094	0.0153427914	-0.0024205352	-0.073975	-0.075062
200208	916.07	15.8807	28.9400	0.2844115560	0.0162	0.0637	0.0758	0.0510	0.0260324824	0.0013500000	0.0033314825	0.0464	0.0452	0.0094092779	-0.0029084989	0.007043	0.005382
200209	815.29	15.8010	30.0400	0.3245551555	0.0163	0.0615	0.0740	0.0480	0.0301116372	0.0013583333	0.0016602103	0.0417	0.0330	0.0073660612	-0.0032126151	-0.109019	-0.110473
200210	885.76	15.8930	29.2233	0.2934370638	0.0158	0.0632	0.0773	0.0508	0.0264332481	0.0013166667	0.0016574586	-0.0294	-0.0240	0.0115896791	-0.0037533659	0.088599	0.087103
200211	936.31	15.9850	28.4067	0.2769754993	0.0123	0.0631	0.0762	0.0521	0.0231678694	0.0010250000	0.0000000000	-0.0122	0.0130	0.0044490811	-0.0041663869	0.059019	0.057288
200212	879.82	16.0770	27.5900	0.2953858956	0.0119	0.0621	0.0745	0.0484	0.0262554420	0.0009916667	-0.0022062879	0.0507	0.0361	0.0026394797	-0.0041443054	-0.058834	-0.060464
200301	855.70	16.1277	28.5000	0.3059423072	0.0117	0.0617	0.0735	0.0495	0.0283677613	0.0009750000	0.0044223328	-0.0106	0.0021	0.0051675134	NaN	-0.026579	-0.027860
200302	841.15	16.1783	29.4100	0.3122513206	0.0117	0.0595	0.0706	0.0472	0.0280417755	0.0009750000	0.0077050083	0.0329	0.0264	0.0025641601	NaN	-0.015246	-0.017225
200303	848.18	16.2290	30.3200	0.2861177008	0.0113	0.0589	0.0695	0.0486	0.0243644103	0.0009416667	0.0060076461	-0.0135	-0.0080	0.0061361326	NaN	0.010308	0.008967
200304	916.92	16.2077	31.7300	0.2696540306	0.0113	0.0574	0.0685	0.0481	0.0200407520	0.0009416667	-0.0021715527	0.0102	0.0229	0.0030648283	NaN	0.082774	0.081462
200305	963.59	16.1863	33.1400	0.2583755061	0.0107	0.0522	0.0638	0.0436	0.0067375224	0.0008916667	-0.0016322089	0.0592	0.0471	0.0022283514	NaN	0.053251	0.051508
200306	974.51	16.1650	34.5500	0.2544883373	0.0092	0.0497	0.0619	0.0452	0.0015894375	0.0007666667	0.0010899183	-0.0154	-0.0143	0.0019977410	NaN	0.012816	0.011351
200307	990.31	16.3053	35.8933	0.2476433348	0.0090	0.0549	0.0662	0.0542	0.0005026936	0.0007500000	0.0010887316	-0.0982	-0.0881	0.0020460594	NaN	0.017932	0.016505
200308	1,008.01	16.4457	37.2367	0.2428560733	0.0095	0.0588	0.0701	0.0532	0.0023174272	0.0007916667	0.0038064165	0.0166	0.0219	0.0009660247	NaN	0.019597	0.018014
200309	995.97	16.5860	38.5800	0.2465417826	0.0094	0.0572	0.0679	0.0490	0.0073371595	0.0007833333	0.0032502709	0.0546	0.0503	0.0018691217	NaN	-0.010737	-0.012107
